cycle,cell_id,voltage_mean,voltage_std,voltage_max,voltage_min,temperature_mean,temperature_max,charge_max,charge_min,time_max,time_min,capacity
cyc0000,1,3.7804141760517895,0.23642919757235323,4.1999769,2.6998193,39.96342697380896,41.295536,744.9881895467715,-739.8196991912561,735956.8058527714,735954.8172255817,1484.8078887380275
cyc0000,2,3.7807519153340277,0.23546815178724503,4.199935,2.699652,40.06382222800179,41.233673,743.2311694529068,-734.8189656975843,735956.798417136,735954.8158387739,1478.050135150491
cyc0000,3,3.7794980158979072,0.23690078277833965,4.1999931,2.6998932,40.05691171008478,40.821388,742.190930618108,-735.119595112905,735956.8062290354,735954.8170227183,1477.310525731013
cyc0000,4,3.781270287662203,0.23539743249744371,4.1999707,2.6999574,40.41124431992161,41.717407,743.4830595686819,-735.9783427588067,735956.80293397,735954.8163730493,1479.4614023274885
cyc0000,5,3.779742644837644,0.23680913490106142,4.2000198,2.69981,41.04012130319355,42.279404,743.4025620462248,-735.336070718255,735956.7971577584,735954.8160318803,1478.73863276448
cyc0000,6,3.7809286385944563,0.23559842826076863,4.1999187,2.6999252,40.7469435729241,42.090382,742.5626653724814,-733.1499423759849,735956.8008585459,735954.8162809822,1475.7126077484663
cyc0100,1,3.7811049392148663,0.23641535993258259,4.200017,2.6998594,39.93761036415511,41.124866,739.1789621228079,-734.7589807249153,735963.9597734255,735961.9832234333,1473.9379428477232
cyc0100,2,3.781610474625836,0.23574730130882665,4.1998949,2.6999323,40.035719226807835,41.183769,736.1165630752968,-729.6037056659845,735963.9490629018,735961.9782555159,1465.7202687412814
cyc0100,3,3.7802381741084763,0.23681926055371086,4.1999531,2.6999333,40.03538557472672,40.795288,737.2821457260021,-729.9765104086131,735963.9585658394,735961.9799135883,1467.2586561346152
cyc0100,4,3.7822122934327105,0.2354469447461927,4.2000909,2.6997566,40.38535585602251,41.518101,737.0585193857228,-731.3671868171333,735963.962471372,735961.9878562847,1468.425706202856
cyc0100,5,3.7804786408371616,0.23688434580015488,4.1999798,2.7000103,41.03706049193766,42.304337,737.2861997476732,-728.4437795382929,735963.9399714738,735961.971727851,1465.7299792859662
cyc0100,6,3.7816751895091896,0.2358937556213534,4.1998787,2.6999655,40.80414567424219,42.202736,735.3513611227696,-729.5304103282373,735963.9576732278,735961.9853093761,1464.881771451007
cyc0200,1,3.7818420165705358,0.23604750475815134,4.1998968,2.7000198,39.968553038782744,41.243099,734.6203102657674,-731.3193211688438,735971.105070364,735969.1371143227,1465.9396314346113
cyc0200,2,3.782411614130107,0.23542444234721216,4.1998148,2.6999323,40.04972668909541,41.158836,731.6021159797548,-725.8119463873812,735971.0901988208,735969.1289143116,1457.414062367136
cyc0200,3,3.7808873697006096,0.2366135815970576,4.2001538,2.7000134,40.050469456562865,40.783951,731.2045032264566,-728.3491310259461,735971.1022824796,735969.1323540754,1459.5536342524028
cyc0200,4,3.783096179025155,0.235141000211334,4.2002115,2.6999974,40.39444747095373,41.505592,731.2319359014327,-727.117644935644,735971.1095532287,735969.1475126558,1458.3495808370767
cyc0200,5,3.7812996082769454,0.2365290705309641,4.1999397,2.7000103,41.02330272450459,42.29187,731.7663105739116,-725.341250122989,735971.0733853872,735969.1144490645,1457.1075606969007
cyc0200,6,3.7824761838078294,0.23565782965753027,4.1999989,2.6998851,40.82334469820254,42.102848,732.4374040210928,-724.655215440253,735971.1051276313,735969.1420477567,1457.0926194613457
cyc0300,1,3.7826288211052392,0.23561361544686932,4.1998806,2.6999636,39.932417465468816,41.124866,730.3265217795462,-726.827168802373,735979.7506404431,735977.7914607045,1457.1536905819191
cyc0300,2,3.783200288066992,0.23500222084476846,4.1999903,2.6999474,40.02047988358263,41.258644,726.8314498070827,-721.5662489053174,735979.7444803865,735977.7926090101,1448.3976987124001
cyc0300,3,3.7816016954143397,0.23608746807863157,4.1998014,2.6997411,40.03315963064151,40.808922,728.0841169012951,-723.3395661811281,735979.7542054249,735977.7932780518,1451.4236830824234
cyc0300,4,3.7842007458304243,0.23431175272353655,4.200058,2.699924,40.37846963443732,41.530567,726.5755689317152,-721.421933946553,735979.745817178,735977.794326024,1447.9975028782683
cyc0300,5,3.7822467451658004,0.23599044624204762,4.2000246,2.6998551,41.046729839822504,42.429001,726.6495005920344,-720.8601506237711,735979.7431663813,735977.7945618064,1447.5096512158057
cyc0300,6,3.783261009719609,0.23506796548226777,4.2001157,2.6999218,40.878121509042906,42.327557,726.0063183074865,-721.4463321628252,735979.7482356319,735977.7955169568,1447.4526504703117
cyc0400,1,3.7834537930640755,0.2350828314375316,4.1998806,2.7000437,39.959566495353776,41.124866,726.2692497338496,-723.937604708043,735986.8783723514,735984.9276720637,1450.2068544418926
cyc0400,2,3.784019064816227,0.23453322908867397,4.1998296,2.7000275,40.0324200260485,41.196236,722.585419388873,-718.7470870112217,735986.868154291,735984.9240412613,1441.3325064000946
cyc0400,3,3.782272688516935,0.23575083117573145,4.1998816,2.6999819,40.03896441417266,40.821388,723.9979011353898,-721.3259241212694,735986.8822895802,735984.9278551766,1445.3238252566593
cyc0400,4,3.78508879048361,0.23391523424697802,4.1998572,2.7000041,40.38257840274341,41.543034,721.5193737094019,-717.8026057670108,735986.8729285,735984.9310650832,1439.3219794764127
cyc0400,5,3.783103372904567,0.23557672467275467,4.1999846,2.7000554,41.0261162542948,42.329269,722.0066969632825,-717.9016851169517,735986.857532163,735984.9174657187,1439.9083820802343
cyc0400,6,3.7841113402662025,0.23462010669893787,4.1999555,2.6998818,40.86731633443233,42.302624,722.5331777945333,-716.6246491362508,735986.8762337916,735984.9324992036,1439.1578269307843
cyc0500,1,3.7840737682045646,0.23468413833994325,4.2000809,2.6998432,39.96187810554742,41.124866,723.167774282433,-720.2153189524835,735993.99860009,735992.0555454298,1443.3830932349165
cyc0500,2,3.784723453746667,0.23419183620325418,4.2000303,2.6999874,40.033726575316436,41.183769,718.5820863857684,-715.857675171926,735993.98425301,735992.047672204,1434.4397615576945
cyc0500,3,3.7829582303671456,0.23541317271879414,4.2000017,2.700022,40.045780332379444,40.808922,720.7985894028278,-718.6961010738854,735994.0040799226,735992.0558083995,1439.4946904767132
cyc0500,4,3.7862294777061063,0.2333118063662939,4.200058,2.7001245,40.38968087225089,41.612572,717.2005243078512,-713.9107478152328,735993.9913783075,735992.0579129993,1431.1112721230838
